ID,Prediction
51625,0.0
51678,1.0
51694,1.0
51695,0.0
51711,1.0
51718,0.0
51720,0.0
51723,0.0
51732,0.0
51760,1.0
51767,0.0
51789,0.0
51809,0.0
51814,0.0
51856,1.0
51857,0.0
51863,1.0
51868,0.0
51888,1.0
51905,1.0
51906,0.0
51907,1.0
51912,1.0
51933,1.0
51944,0.0
51952,0.0
51958,0.0
51962,1.0
51966,0.0
51991,0.0
51996,0.0
52013,0.0
52027,1.0
52066,1.0
52067,1.0
52068,1.0
52081,1.0
52083,1.0
52085,0.0
52094,1.0
52102,0.0
52128,0.0
52134,1.0
52135,1.0
52159,0.0
52160,1.0
52168,1.0
52185,0.0
52202,0.0
52205,1.0
52214,0.0
52229,0.0
52245,0.0
52251,0.0
52255,1.0
52259,0.0
52265,0.0
52266,1.0
52274,0.0
52276,0.0
52285,0.0
52298,0.0
52300,1.0
52309,0.0
52315,1.0
52339,0.0
52348,0.0
52366,1.0
52381,0.0
52391,1.0
52395,1.0
52400,0.0
52428,0.0
52442,1.0
52453,1.0
52461,1.0
52471,0.0
52479,0.0
52516,0.0
52519,0.0
52522,0.0
52524,0.0
52537,0.0
52539,1.0
52542,0.0
52551,0.0
52552,0.0
52585,1.0
52591,0.0
52608,1.0
52626,1.0
52631,1.0
52648,0.0
52661,1.0
52662,1.0
52674,1.0
52676,0.0
52689,0.0
52709,0.0
52719,1.0
52725,0.0
52741,1.0
52766,0.0
52795,1.0
52799,0.0
52814,1.0
52816,0.0
52828,0.0
52841,1.0
52842,1.0
52898,0.0
52901,0.0
52922,0.0
52923,0.0
52964,0.0
53019,0.0
53022,0.0
53023,0.0
53030,0.0
53068,0.0
53098,1.0
53099,0.0
53109,0.0
53137,0.0
53138,0.0
53151,0.0
53154,1.0
53163,0.0
53176,1.0
53187,0.0
53190,1.0
53201,1.0
53205,0.0
53243,1.0
53260,0.0
53268,1.0
53279,0.0
53291,0.0
53294,1.0
53296,0.0
53297,1.0
53309,0.0
53324,0.0
53353,1.0
53366,0.0
53368,0.0
53369,0.0
53377,1.0
53389,0.0
53398,0.0
53405,0.0
53418,1.0
53427,0.0
53435,0.0
53468,0.0
53491,0.0
53494,0.0
53498,0.0
53516,1.0
53529,1.0
53533,1.0
53553,0.0
53559,1.0
53572,0.0
53585,0.0
53604,1.0
53618,0.0
53621,0.0
53639,1.0
53664,1.0
53668,0.0
53671,0.0
53698,1.0
53702,0.0
53763,0.0
53765,0.0
53798,0.0
53800,0.0
53812,0.0
53828,0.0
53830,0.0
53840,0.0
53848,0.0
53851,0.0
53858,1.0
53881,1.0
53883,0.0
53886,1.0
53894,0.0
53896,1.0
53908,0.0
53938,0.0
53955,1.0
54021,1.0
54030,0.0
54032,0.0
54039,1.0
54046,0.0
54071,0.0
54084,0.0
54086,0.0
54090,0.0
54106,1.0
54108,0.0
54119,0.0
54123,0.0
54128,0.0
54137,0.0
54158,0.0
54172,0.0
54173,0.0
54188,0.0
54192,0.0
54196,0.0
54215,0.0
54254,0.0
54271,0.0
54281,0.0
54284,1.0
54288,1.0
54306,0.0
54334,1.0
54362,0.0
54371,1.0
54375,1.0
54383,0.0
54392,1.0
54396,1.0
54402,0.0
54418,1.0
54426,0.0
54439,1.0
54456,1.0
54460,1.0
54464,1.0
54487,1.0
54492,0.0
54498,0.0
54522,0.0
54530,0.0
54551,1.0
54586,0.0
54600,0.0
54622,1.0
54628,1.0
54631,1.0
54633,1.0
54640,0.0
54666,0.0
54687,0.0
54704,1.0
54711,0.0
54725,1.0
54731,0.0
54738,1.0
54767,1.0
54789,0.0
54800,0.0
54812,1.0
54813,1.0
54829,0.0
54838,0.0
54887,1.0
54894,0.0
54897,0.0
54900,1.0
54906,0.0
54918,0.0
54923,1.0
54937,0.0
54939,0.0
54958,1.0
54990,0.0
54998,0.0
55001,0.0
55006,0.0
55013,0.0
55027,0.0
55034,0.0
55047,1.0
55057,1.0
55065,0.0
55084,0.0
55085,0.0
55107,1.0
55109,0.0
55110,0.0
55115,0.0
55125,0.0
55127,0.0
55141,0.0
55191,0.0
55194,1.0
55205,0.0
55206,0.0
55214,1.0
55225,0.0
55239,1.0
55248,0.0
55250,1.0
55256,0.0
55258,0.0
55274,0.0
55288,0.0
55290,0.0
55299,0.0
55303,1.0
55306,1.0
55316,0.0
55325,0.0
55381,1.0
55408,0.0
55420,0.0
55456,0.0
55460,0.0
55473,0.0
55474,0.0
55477,0.0
55478,1.0
55486,1.0
55519,0.0
55529,0.0
55545,0.0
55549,0.0
55617,0.0
55628,1.0
55646,0.0
55656,0.0
55660,0.0
55662,0.0
55664,0.0
55695,1.0
55698,1.0
55700,0.0
55701,1.0
55739,1.0
55760,1.0
55797,0.0
55804,0.0
55820,0.0
55822,1.0
55831,1.0
55835,0.0
55845,0.0
55850,0.0
55865,0.0
55869,0.0
55884,0.0
55892,1.0
55921,1.0
55933,0.0
55980,1.0
55986,0.0
56020,0.0
56029,1.0
56037,0.0
56060,1.0
56073,0.0
56096,1.0
56097,0.0
56098,1.0
56119,0.0
56127,0.0
56128,1.0
56133,0.0
56135,0.0
56137,0.0
56169,0.0
56172,0.0
56182,0.0
56185,1.0
56214,0.0
56216,0.0
56220,1.0
56222,1.0
56240,0.0
56248,1.0
56254,1.0
56268,1.0
56278,0.0
56318,1.0
56332,0.0
56339,1.0
56346,0.0
56347,0.0
56356,0.0
56368,0.0
56374,1.0
56381,0.0
56405,0.0
56425,0.0
56443,1.0
56496,1.0
56499,0.0
56526,0.0
56556,0.0
56562,0.0
56568,0.0
56569,1.0
56572,0.0
56585,0.0
56614,0.0
56622,1.0
56644,0.0
56664,1.0
56670,0.0
56689,1.0
56693,0.0
56737,0.0
56744,0.0
56772,1.0
56785,0.0
56829,1.0
56839,0.0
56840,0.0
56843,0.0
56858,0.0
56867,0.0
56868,0.0
56899,0.0
56900,0.0
56913,0.0
56919,1.0
56939,1.0
56951,0.0
56969,1.0
56971,1.0
56983,0.0
56984,1.0
57013,0.0
57021,0.0
57026,0.0
57053,1.0
57059,0.0
57086,0.0
57116,0.0
57133,0.0
57176,1.0
57192,0.0
57194,1.0
57208,0.0
57210,1.0
57222,0.0
57224,1.0
57231,0.0
57246,1.0
57297,0.0
57305,1.0
57309,1.0
57336,1.0
57348,1.0
57375,0.0
57377,0.0
57387,0.0
57388,1.0
57400,0.0
57411,1.0
57420,0.0
57429,0.0
57430,0.0
57437,1.0
57492,0.0
57508,0.0
57509,0.0
57517,0.0
57539,0.0
57545,0.0
57550,0.0
57557,1.0
57577,0.0
57601,0.0
57650,0.0
57651,1.0
57668,0.0
57677,0.0
57687,0.0
57702,1.0
57714,0.0
57729,1.0
57743,0.0
57751,0.0
57769,1.0
57775,1.0
57785,1.0
57788,0.0
57794,0.0
57796,0.0
57800,1.0
57804,0.0
57837,0.0
57841,0.0
57842,1.0
57855,1.0
57871,1.0
57892,1.0
57906,0.0
57911,0.0
57914,1.0
57925,1.0
57926,0.0
57945,0.0
57966,1.0
57984,1.0
58007,1.0
58033,0.0
58040,0.0
58058,0.0
58084,0.0
58095,1.0
58101,0.0
58103,0.0
58111,1.0
58114,0.0
58164,0.0
58168,0.0
58173,0.0
58175,1.0
58176,1.0
58191,1.0
58225,0.0
58227,1.0
58233,1.0
58263,1.0
58274,0.0
58295,1.0
58318,0.0
58321,1.0
58337,0.0
58340,0.0
58360,0.0
58384,1.0
58386,0.0
58402,0.0
58417,0.0
58422,0.0
58424,0.0
58452,0.0
58488,1.0
58505,0.0
58570,0.0
58579,0.0
58582,0.0
58611,1.0
58619,1.0
58637,1.0
58643,0.0
58659,0.0
58661,0.0
58664,1.0
58670,0.0
58704,1.0
58712,1.0
58714,1.0
58725,1.0
58785,0.0
58796,0.0
58798,1.0
58817,1.0
58821,1.0
58828,0.0
58829,0.0
58843,0.0
58845,1.0
58851,0.0
58856,0.0
58882,0.0
58884,0.0
58922,1.0
58948,0.0
58959,0.0
58965,1.0
58974,1.0
58975,1.0
58982,0.0
58993,0.0
58996,1.0
59006,0.0
59032,1.0
59053,0.0
59054,0.0
59058,0.0
59072,0.0
59092,0.0
59099,0.0
59115,0.0
59118,0.0
59132,0.0
59142,0.0
59143,1.0
59176,0.0
59200,0.0
59212,1.0
59219,0.0
59220,0.0
59231,0.0
59237,1.0
59252,0.0
59257,1.0
59280,0.0
59296,1.0
59300,0.0
59301,0.0
59310,0.0
59317,0.0
59342,0.0
59349,1.0
59359,0.0
59391,0.0
59397,1.0
59409,0.0
59417,1.0
59427,1.0
59453,0.0
59479,0.0
59520,0.0
59528,0.0
59539,0.0
59542,0.0
59545,0.0
59562,1.0
59572,1.0
59590,0.0
59594,0.0
59606,0.0
59615,1.0
59662,0.0
59663,0.0
59687,0.0
59704,1.0
59716,0.0
59720,0.0
